workload_id,stage_workload,candidate_class,angle_deg,frame_class,rtl_top,tile_w,tile_h,set_num,way_num,merge_max_x,fifo_depth,lead_pixels,runtime_lead_pixels,runtime_merge_max_x_eff,runtime_merge_min_x,runtime_fifo_depth_eff,runtime_fifo_age_limit,runtime_prefetch_throttle_cycles,runtime_scheduler_policy,score
cal256_r15_sanity_bad,cal256_r15,sanity_bad,15,cal256,tb_image_geo_top_perf_single_cal256_rotate15_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,53
cal256_r45_default,cal256_r45,default,45,cal256,tb_image_geo_top_perf_single_cal256_rotate45_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,54
cal256_r45_model_top1,cal256_r45,model_top1,45,cal256,tb_image_geo_top_perf_single_cal256_rotate45_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,55
cal256_r45_model_top2,cal256_r45,model_top2,45,cal256,tb_image_geo_top_perf_single_cal256_rotate45_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,56
cal256_r45_policy1_merge_min_age,cal256_r45,policy1_merge_min_age,45,cal256,tb_image_geo_top_perf_single_cal256_rotate45_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,57
cal256_r45_policy2_throttle,cal256_r45,policy2_throttle,45,cal256,tb_image_geo_top_perf_single_cal256_rotate45_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,58
cal256_r45_sanity_bad,cal256_r45,sanity_bad,45,cal256,tb_image_geo_top_perf_single_cal256_rotate45_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,59
cal256_r75_default,cal256_r75,default,75,cal256,tb_image_geo_top_perf_single_cal256_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,60
cal256_r75_model_top1,cal256_r75,model_top1,75,cal256,tb_image_geo_top_perf_single_cal256_rotate75_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,61
cal256_r75_model_top2,cal256_r75,model_top2,75,cal256,tb_image_geo_top_perf_single_cal256_rotate75_on,16,16,32,2,4,16,64,64,4,1,16,0,0,0,62
cal256_r75_policy1_merge_min_age,cal256_r75,policy1_merge_min_age,75,cal256,tb_image_geo_top_perf_single_cal256_rotate75_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,63
cal256_r75_policy2_throttle,cal256_r75,policy2_throttle,75,cal256,tb_image_geo_top_perf_single_cal256_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,64
cal256_r75_sanity_bad,cal256_r75,sanity_bad,75,cal256,tb_image_geo_top_perf_single_cal256_rotate75_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,65
